device,device_type,orientation,width_vp,height_vp,layout_mode,page,result,evidence,notes
HAD-W32,2in1,landscape,1280,760,Expanded,Home,PASS,muhub-home-expanded.jpeg,"双栏和四状态入口可见"
HAD-W32,2in1,landscape,1280,760,Expanded,SettingsOverview,PASS,muhub-settings-real.jpeg,"左侧导航和右侧概览可见"
HAD-W32,2in1,landscape,1280,760,Expanded,SettingsRoutes,PASS,muhub-layout-settings-basic.json,"basic/remote/help/overview 均可达"
HAD-W32,2in1,landscape,1280,760,Expanded,HostTouchInput,PASS,muhub-layout-ime-text.json,"真实触控唤起输入面板，ASCII 提交成功"
HAD-W32,2in1,landscape,1280,760,Expanded,ResponsiveConnectionForm,PASS,muhub-d04-expanded.jpeg,"ComponentSize sm：标签3列、输入9列，无视觉回退"
HAD-W32,2in1,landscape,756,647,Compact,Home,PASS,muhub-c01-home-compact.jpeg,"单页设备列表、两行Header和2×2状态卡可见"
HAD-W32,2in1,landscape,756,647,Compact,SettingsOverview,PASS,muhub-c01-settings-compact.jpeg,"无桌面固定侧栏，概览与三个路由入口可达"
HAD-W32,2in1,landscape,756,647,Compact,SettingsBasic,PASS,muhub-d05-basic-compact.jpeg,"刷新按钮91px，对应48vp取整"
HAD-W32,2in1,landscape,756,647,Compact,SettingsRemote,PASS,muhub-d05-remote-compact-scrolled.jpeg,"4个操作按钮原始高度91px且底部共享目录可滚动到达"
tablet,tablet,portrait,600,800,Compact,Home,NOT_RUN,,"当前 HAP 未声明 tablet，且无 tablet 真机"
